 VDS3U   VV  10  1.2779    1.4568    0.2444    0.0187  -32.0000    0.0000    0.50000   1     SS304  ;Upper dome segment 3
 VDS4U   VV  10  1.4986    1.3144    0.1970    0.0191  -33.8300    0.0000    0.50000   1     SS304  ;Upper dome segment 4
 VDS5U   VV  11  1.6287    1.2080    0.0631    0.0258  -51.9433    0.0000    0.33333   1     SS304  ;Upper dome segment 5
 VDS6U   VV  11  1.6869    1.1100    0.0166    0.1200    0.0000  107.0490    0.33333   1     SS304  ;Upper dome segment 6
 VOS1U   VV  11  1.7049    0.8750    0.0159    0.3500    0.0000    0.0000    0.33333   1     SS304  ;Upper vessel segment 1
 VOS2U   VV  12  1.7049    0.5250    0.0159    0.3500    0.0000    0.0000    1.0000    1     SS304  ;Upper vessel segment 2
 VOS3U   VV  13  1.7049    0.1750    0.0159    0.3500    0.0000    0.0000    1.0000    1     SS304  ;Upper vessel segment 3
 VOS3L   VV  14  1.7049   -0.1750    0.0159    0.3500    0.0000    0.0000    1.0000    1     SS304  ;Lower vessel segment 3
 VOS2L   VV  15  1.7049   -0.5250    0.0159    0.3500    0.0000    0.0000    1.0000    1     SS304  ;Lower vessel segment 2
 VOS1L   VV  16  1.7049   -0.8750    0.0159    0.3500    0.0000    0.0000    0.33333   1     SS304  ;Lower vessel segment 1
 VDS6L   VV  16  1.6869   -1.1100    0.0166    0.1200    0.0000 -107.0490    0.33333   1     SS304  ;Lower dome segment 6
 VDS5L   VV  16  1.6287   -1.2080    0.0631    0.0258   51.9433    0.0000    0.33333   1     SS304  ;Lower dome segment 5
 VDS4L   VV  17  1.4986   -1.3144    0.1970    0.0191   33.8300    0.0000    0.50000   1     SS304  ;Lower dome segment 4
 VDS3L   VV  17  1.2779   -1.4568    0.2444    0.0187   32.0000    0.0000    0.50000   1     SS304  ;Lower dome segment 3
 DROL    VV  18  1.1366   -1.5084    0.0381    0.0445   21.0000    0.0000    0.2000    1     SS304  ;Lower outer divertor - outer ring
 DRML    VV  18  0.9081   -1.6032    0.0381    0.0540   21.0000    0.0000    0.2000    1     SS304  ;Lower outer divertor - middle ring
 DRIL    VV  18  0.6921   -1.6811    0.0381    0.0397   21.0000    0.0000    0.2000    1     SS304  ;Lower outer divertor - inner ring
 VDS2L   VV  18  1.0296   -1.5879    0.2522    0.0173   23.5400    0.0000    0.2000    1     SS304  ;Lower dome segment 2
 VDS1L   VV  18  0.7645   -1.6876    0.2780    0.0167   17.7000    0.0000    0.2000    1     SS304  ;Lower dome segment 1
